agent_id agent_interest location_of_home available_balance monthly_income education_level family_size
0 F 0 622.0 2674.0 2 3
1 E 0 264.0 3370.0 1 3
2 I 0 1996.0 11698.0 2 3
3 D 0 836.0 1840.0 2 3
4 G 0 3603.0 18340.0 4 3
5 C 0 2005.0 11636.0 2 3
6 G 0 929.0 6130.0 3 3
7 C 0 1259.0 3346.0 2 3
8 A 0 3147.0 16926.0 4 3
9 C 3 2015.0 10407.0 2 3
10 C 0 1177.0 1760.0 2 3
11 H 0 2330.0 4462.0 4 3
12 G 0 1273.0 8764.0 2 3
13 I 0 1616.0 8652.0 2 3
14 A 0 2994.0 12405.0 3 3
15 I 0 1528.0 3779.0 3 3
16 J 0 1540.0 7518.0 2 3
17 C 3 1797.0 9724.0 2 3
18 E 0 1621.0 7092.0 2 3
19 C 0 1331.0 6905.0 2 3
20 I 3 1855.0 9657.0 2 3
21 I 1 4111.0 18400.0 4 3
22 D 0 2708.0 11824.0 3 3
23 I 1 1544.0 8786.0 2 3
24 C 0 1724.0 6755.0 2 3
25 A 0 1222.0 3313.0 3 3
26 F 3 2140.0 1871.0 3 3
27 J 4 1606.0 7421.0 1 3
28 E 0 1592.0 6376.0 2 3
29 H 0 1512.0 6184.0 2 3
30 D 0 1143.0 5818.0 2 3
31 F 0 1172.0 6150.0 1 3
32 E 0 2619.0 11123.0 3 3
33 H 0 989.0 5536.0 2 3
34 H 0 1515.0 2179.0 3 3
35 H 0 1247.0 1840.0 2 3
36 D 2 874.0 1840.0 2 3
37 E 1 3754.0 18400.0 4 3
38 F 2 3301.0 18400.0 3 3
39 E 0 1285.0 5965.0 2 3
40 D 3 3660.0 18400.0 4 3
41 J 3 1972.0 8426.0 2 3
42 B 0 858.0 1840.0 2 3
43 F 0 403.0 3069.0 3 3
44 J 0 4135.0 16479.0 4 3
45 E 2 1393.0 7940.0 2 3
46 J 2 1460.0 7919.0 2 3
47 G 0 1712.0 5823.0 2 3
48 B 2 1722.0 7338.0 2 3
49 E 4 670.0 4048.0 3 3
50 H 1 3061.0 18400.0 3 3
51 B 0 1943.0 2168.0 4 3
52 D 0 2641.0 7356.0 4 3
53 I 0 984.0 1840.0 2 3
54 E 1 1800.0 7087.0 2 3
55 E 5 1737.0 7081.0 2 3
56 G 0 1036.0 5267.0 2 3
57 J 0 1417.0 5347.0 1 3
58 J 5 3453.0 18400.0 3 3
59 J 0 1393.0 5432.0 2 3
60 J 5 1495.0 6763.0 2 3
61 B 0 1414.0 4921.0 2 3
62 E 0 1577.0 4752.0 4 3
63 J 0 1006.0 5613.0 3 3
64 D 0 308.0 2868.0 2 3
65 H 0 820.0 1840.0 2 3
66 I 0 476.0 2396.0 2 3
67 D 2 1425.0 7070.0 2 3
68 I 1 3194.0 18400.0 4 3
69 F 0 1435.0 5371.0 2 3
70 D 1 3567.0 18400.0 4 3
71 A 1 1601.0 7058.0 2 3
72 A 1 1732.0 6947.0 2 3
73 A 1 1640.0 6936.0 2 3
74 D 1 1766.0 6843.0 2 3
75 G 1 1187.0 6523.0 2 3
76 C 4 1741.0 6818.0 2 3
77 B 0 1558.0 5368.0 2 3
78 B 0 1109.0 1840.0 2 3
79 D 0 455.0 4378.0 2 3
80 I 0 1369.0 4237.0 1 3
81 B 1 1522.0 5650.0 1 3
82 J 1 113.0 2060.0 2 3
83 C 4 2881.0 16598.0 3 3
84 E 0 788.0 1840.0 1 3
85 J 4 3147.0 16098.0 3 3
86 D 0 1666.0 5293.0 2 3
87 E 0 658.0 2522.0 1 3
88 I 4 1700.0 6706.0 2 3
89 C 4 1634.0 6675.0 2 3
90 H 0 1295.0 1760.0 2 3
91 B 1 369.0 3820.0 2 3
92 D 1 1743.0 6554.0 2 3
93 F 0 410.0 3366.0 2 3
94 A 0 1755.0 1859.0 3 3
95 F 1 1188.0 7077.0 4 3
96 J 0 2018.0 9828.0 3 3
97 G 0 2123.0 10086.0 3 3
98 J 3 1269.0 1840.0 2 3
99 B 3 463.0 4642.0 2 3
100 H 1 1711.0 6553.0 2 3
101 D 0 792.0 1934.0 2 3
102 B 0 1983.0 9925.0 3 3
103 D 1 1503.0 6245.0 2 3
104 E 1 3789.0 18400.0 4 3
105 H 0 1480.0 5256.0 2 3
106 E 1 1372.0 4984.0 1 3
107 H 3 1181.0 1982.0 2 3
108 B 0 980.0 2685.0 3 3
109 F 2 1599.0 6522.0 2 3
110 A 0 1637.0 5057.0 2 3
111 C 0 1112.0 4612.0 2 3
112 H 0 1202.0 1840.0 2 3
113 B 0 2356.0 8442.0 4 3
114 H 0 2461.0 10132.0 4 3
115 J 0 974.0 3386.0 4 3
116 I 0 1346.0 4960.0 2 3
117 C 2 1285.0 6391.0 2 3
118 I 0 781.0 2198.0 2 3
119 I 2 1353.0 6241.0 2 3
120 A 2 4181.0 18400.0 4 3
121 D 0 846.0 2780.0 2 3
122 D 0 1910.0 9718.0 3 3
123 I 0 354.0 2714.0 2 3
124 G 0 2630.0 9462.0 3 2
125 J 0 888.0 4560.0 2 2
126 A 2 1230.0 4667.0 1 2
127 A 0 3584.0 13523.0 4 2
128 B 4 1794.0 6222.0 2 2
129 D 2 849.0 1760.0 2 2
130 G 0 1010.0 1840.0 2 2
131 A 2 1583.0 6054.0 2 2
132 D 2 3756.0 18400.0 4 2
133 D 1 1833.0 6008.0 2 2
134 E 0 1202.0 4712.0 2 2
135 H 2 1558.0 6001.0 2 2
136 B 2 1506.0 5976.0 2 2
137 E 0 1199.0 2557.0 2 2
138 A 0 1542.0 4705.0 2 2
139 E 0 1322.0 4690.0 2 2
140 E 0 811.0 4276.0 2 2
141 E 4 1148.0 4524.0 1 2
142 G 0 2040.0 9312.0 3 2
143 F 3 827.0 2481.0 2 2
144 I 1 1385.0 5956.0 2 2
145 D 3 967.0 1840.0 2 2
146 A 2 1141.0 4032.0 2 2
147 G 0 1492.0 4668.0 2 2
148 C 0 1171.0 4657.0 2 2
149 I 2 1077.0 1840.0 2 2
150 I 3 1071.0 1856.0 2 2
151 I 0 362.0 3176.0 2 2
152 G 0 1523.0 4613.0 2 2
153 H 0 3817.0 12632.0 4 2
154 B 4 2624.0 13801.0 3 2
155 E 2 1182.0 1760.0 2 2
156 J 3 1352.0 1840.0 2 2
157 A 4 3923.0 18400.0 4 2
158 C 0 913.0 3739.0 1 2
159 C 4 4035.0 16010.0 4 2
160 F 5 1264.0 5575.0 2 2
161 D 0 846.0 2800.0 2 2
162 H 0 2332.0 9265.0 3 2
163 I 0 558.0 3043.0 2 2
164 A 5 1481.0 5786.0 2 2
165 B 5 1187.0 4244.0 1 2
166 A 0 1376.0 4492.0 2 2
167 J 0 788.0 2380.0 2 2
168 J 0 1411.0 4304.0 3 2
169 C 5 1419.0 4194.0 1 2
170 D 0 763.0 2290.0 2 2
171 I 0 1083.0 3697.0 3 2
172 I 0 850.0 4265.0 2 2
173 I 0 1445.0 4458.0 2 2
174 B 3 1328.0 1840.0 2 2
175 I 3 417.0 2396.0 1 2
176 F 5 2754.0 13335.0 3 2
177 J 3 1145.0 1840.0 1 2
178 A 0 1471.0 4425.0 2 2
179 I 5 1507.0 5773.0 2 2
180 H 0 1318.0 4422.0 2 2
181 A 0 2041.0 8424.0 3 2
182 F 4 1760.0 5762.0 2 2
183 H 0 1076.0 3381.0 1 2
184 I 0 1505.0 4431.0 4 2
185 C 0 2193.0 7852.0 3 2
186 D 5 1459.0 5729.0 2 2
187 E 0 1263.0 4420.0 2 2
188 J 0 1261.0 4326.0 2 2
189 E 0 1737.0 5423.0 3 2
190 H 0 2924.0 11790.0 4 2
191 J 0 1736.0 1983.0 3 2
192 G 2 1599.0 5711.0 2 2
193 A 0 788.0 2304.0 1 2
194 E 0 376.0 3127.0 2 2
195 C 0 1246.0 4251.0 2 2
196 H 0 1128.0 4208.0 2 2
197 B 3 886.0 1917.0 2 2
198 A 0 1404.0 4162.0 2 2
199 J 3 1111.0 1840.0 1 2
200 I 0 1867.0 7207.0 3 2
201 J 0 1133.0 4148.0 2 2
202 A 0 790.0 3475.0 2 2
203 D 0 2010.0 2185.0 4 2
204 A 2 1322.0 5206.0 2 2
205 I 3 678.0 2252.0 2 2
206 G 0 1194.0 4110.0 2 2
207 D 0 2331.0 7199.0 3 2
208 E 0 1431.0 4110.0 2 2
209 D 0 2198.0 7143.0 3 2
210 I 0 1029.0 3154.0 3 2
211 E 0 1009.0 4089.0 2 2
212 J 3 1460.0 2674.0 4 2
213 F 2 1413.0 4094.0 1 2
214 I 0 2896.0 6462.0 4 2
215 D 0 1775.0 6517.0 3 2
216 G 0 674.0 4621.0 3 2
217 A 2 1401.0 5690.0 2 2
218 D 0 990.0 4040.0 2 2
219 A 2 1643.0 5672.0 2 2
220 H 0 984.0 3970.0 2 2
221 D 0 902.0 3923.0 2 2
222 F 3 1106.0 3234.0 3 2
