epochs,loss,forward_loss,seed accuracy,seed precision,seed recall,accuracy,precision,recall,accuracy_rec,precision_rec,recall_rec,time
0,-46.1090350151062,3.3473357558250427,0.5194772344013491,0.10435966787827829,0.5050847457627119,0.554806070826307,0.3786459927582283,0.8191633000639008,0.9815789473684211,0.38235294117647056,0.5878486538927965,45.716713399999996
1,-46.17747783660889,3.3690832555294037,0.5248735244519394,0.10872748056292361,0.5245762711864407,0.5487352445193929,0.37359096062018343,0.806676000789194,0.981860902255639,0.3891402714932127,0.5964683745838761,43.198125899999994
2,-46.301493644714355,3.338528424501419,0.5243676222596965,0.10695642961348517,0.514406779661017,0.5564080944350759,0.3794084592263175,0.8180805420048409,0.9820018796992481,0.3922871246400658,0.6006944444444444,43.4541727
3,-46.442463397979736,3.2962414622306824,0.525548060708263,0.10583411081084683,0.5059322033898305,0.55893760539629,0.38101305996312246,0.8193526251991307,0.9822368421052632,0.3977272727272727,0.6070046439628483,42.74960300000001
4,-46.581220626831055,3.2621605694293976,0.5300168634064081,0.10990799957880693,0.5245762711864407,0.5664418212478921,0.3867619304394716,0.8290797073134176,0.9817669172932331,0.38636363636363635,0.5905572755417956,43.40329410000001
5,-46.705732345581055,3.2491381466388702,0.5303541315345699,0.10970821678027626,0.5228813559322034,0.5678752107925801,0.3878334857799548,0.8303774709396958,0.9822368421052632,0.3977272727272727,0.609160268009977,47.38303300000001
6,-46.84226989746094,3.2319581508636475,0.5328836424957841,0.11113544954688931,0.5279661016949153,0.5704047217537943,0.38963820300806046,0.8330554753077504,0.9824248120300751,0.4022727272727273,0.6162587412587412,43.89425320000004
7,-46.85947895050049,3.342975527048111,0.5290893760539629,0.10507727901724856,0.4966101694915254,0.5489881956155143,0.3721040922113226,0.7918163298128987,0.981954887218045,0.39090909090909093,0.598069498069498,44.11835679999996
8,-47.08083629608154,3.2602599263191223,0.5353288364249578,0.10989164767502299,0.5169491525423728,0.5600337268128162,0.3805192249793159,0.8079872579831192,0.9830827067669172,0.4178082191780822,0.6363768115942029,44.437477
9,-47.26588249206543,3.2254861295223236,0.534991568296796,0.10740373741167406,0.502542372881356,0.5678752107925801,0.386412217297354,0.8168316219948601,0.9816729323308271,0.38294089177871765,0.5797118963600328,46.90766309999998
10,-47.50100612640381,3.1537270545959473,0.5424114671163575,0.11369701605274507,0.5296610169491526,0.5814502529510961,0.3970842489224906,0.8380666731038477,0.9822838345864662,0.397284092848609,0.5989692225409637,44.82425950000004
11,-47.62029409408569,3.2125601172447205,0.5383642495784149,0.10704301164556093,0.4957627118644068,0.5681281618887015,0.3858714184010701,0.8105154672248822,0.9825657894736842,0.4028344521960423,0.5971445109010225,42.39192000000003
